Text Content,Image Content,Video Content,"User Metadata (Age, Gender, Location)","Engagement Metrics (Likes, Shares, Comments)",Timestamp,"Interaction Network (Friends, Followers)",Sentiment Score,Text Length,"Image Features (Object, Color)","Video Features (Action, Duration)",Content Type,Interaction Type (Language),Reported Flag,Reporting Frequency
I hate you so much!,Cyberbullying cartoon,Harassment video,"15, Female, XYZ city","174, 23, 47",2023-11-01 09:01:40.291368,"256, 729",-0.5,122,"Middle Finger, Black","Threatening, 11 seconds",Post,Spanish,No,1
You are a loser!,Offensive gesture,Intimidation video,"15, Non-binary, XYZ city","68, 89, 43",2024-01-11 09:01:40.291383,"119, 1052",-0.73,179,"Pointing Finger, Black","Kicking, 10 seconds",Post,Spanish,Yes,6
Why don't you go away?,Offensive gesture,Bullying act,"15, Female, XYZ city","131, 32, 32",2024-05-10 09:01:40.291387,"247, 1631",-0.51,74,"Pointing Finger, Red","Kicking, 13 seconds",Message,French,Yes,2
I hate you so much!,Violent image,Bullying act,"16, Non-binary, XYZ city","132, 94, 10",2024-04-18 09:01:40.291392,"183, 866",-0.53,108,"Knife, Red","Threatening, 7 seconds",Post,French,No,2
I hate you so much!,Cyberbullying cartoon,Bullying act,"17, Male, XYZ city","137, 73, 16",2024-06-05 09:01:40.291397,"421, 1937",-0.77,81,"Gun, Dark Blue","Threatening, 12 seconds",Comment,German,No,7
You are a loser!,Offensive gesture,Bullying act,"16, Female, XYZ city","138, 34, 10",2023-10-12 09:01:40.291401,"408, 1301",-0.9,196,"Knife, Dark Blue","Punching, 6 seconds",Comment,Spanish,No,1
Why don't you go away?,Violent image,Verbal abuse video,"15, Male, XYZ city","125, 90, 24",2023-08-04 09:01:40.291406,"422, 1657",-0.92,61,"Middle Finger, Black","Threatening, 10 seconds",Comment,English,Yes,6
Why don't you go away?,Cyberbullying cartoon,Bullying act,"13, Male, XYZ city","198, 38, 38",2024-02-07 09:01:40.291412,"306, 1806",-0.88,127,"Knife, Dark Blue","Threatening, 12 seconds",Message,French,Yes,7
I hate you so much!,Violent image,Verbal abuse video,"17, Male, XYZ city","98, 54, 47",2024-05-31 09:01:40.291418,"365, 572",-0.64,184,"Knife, Black","Threatening, 8 seconds",Post,Spanish,Yes,8
You are so dumb!,Insulting meme,Verbal abuse video,"15, Non-binary, XYZ city","60, 91, 23",2024-05-27 09:01:40.291423,"451, 1059",-0.86,129,"Knife, Dark Blue","Kicking, 7 seconds",Post,Spanish,No,7
I hate you so much!,Offensive gesture,Bullying act,"13, Female, XYZ city","123, 85, 18",2023-11-17 09:01:40.291428,"425, 1244",-0.83,16,"Middle Finger, Green","Kicking, 7 seconds",Post,German,Yes,6
I hate you so much!,Insulting meme,Bullying act,"16, Female, XYZ city","52, 45, 17",2024-04-30 09:01:40.291432,"199, 1582",-0.78,20,"Middle Finger, Green","Threatening, 4 seconds",Comment,English,No,9
I hate you so much!,Cyberbullying cartoon,Harassment video,"14, Female, XYZ city","97, 85, 15",2024-01-29 09:01:40.291437,"357, 912",-0.54,112,"Knife, Red","Kicking, 9 seconds",Post,German,No,3
